"","X","imdb_score","movie_id","release_year","movie_title_length","aspect_ratio","colour_film","genres_length","distributor_length","actor1_length","is_Miramax","is_Nov","is_Dec","movie_id.1","comput","campus","holiday","riot","terror","escap","wish","love","movie_id","action","adventure","scifi","thriller","western","sport","horror","drama","war","crime","documentary","biography","fantasy","comedy","family"
"100",100,5.8,463,2002,9,1.85,"Color",14,29,13,0,0,0,463,0,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"101",101,6.4,468,2010,9,2.35,"Color",14,18,10,0,0,0,468,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"102",102,6.4,470,2008,14,2.35,"Color",6,34,13,0,0,0,470,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"103",103,7.7,472,1998,30,2.35,"Color",22,20,11,0,0,0,472,0,0,0,0,0,0,0,0,472,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"104",104,7.6,488,2004,12,2.35,"Color",20,24,14,0,0,0,488,0,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"105",105,7.8,498,1997,8,2.35,"Color",22,29,18,0,0,0,498,0,0,0,0,0,0,0,0,498,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"106",106,7.6,500,1999,17,2.35,"Color",9,24,10,0,0,0,500,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"107",107,7.7,503,2014,24,2.35,"Color",23,14,14,0,1,0,503,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"108",108,7.3,507,1995,6,1.85,"Black and White",12,15,8,0,0,0,507,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"109",109,7.5,510,2004,19,1.85,"Color",11,18,23,0,0,0,510,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"110",110,7.8,518,2000,19,2.35,"Color",21,20,12,0,0,0,518,0,0,0,0,0,0,0,0,518,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"111",111,6.9,519,2015,7,2.35,"Color",34,29,12,0,0,0,519,0,0,0,0,0,0,0,0,519,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
"112",112,7.3,523,2002,12,2.35,"Color",13,9,20,0,0,0,523,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"113",113,5,528,1980,4,2.35,"Color",28,25,14,0,0,0,528,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"114",114,8.1,535,1987,7,1.85,"Color",9,14,11,0,0,0,535,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"115",115,6,548,2012,24,2.35,"Color",6,13,10,0,0,0,548,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"116",116,6.4,549,1994,8,2.35,"Color",38,12,12,0,0,0,549,0,0,0,0,0,0,0,0,549,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"117",117,7.3,550,1994,12,1.85,"Color",20,29,14,0,0,1,550,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
"118",118,8.1,551,2015,9,1.85,"Color",29,17,12,0,1,0,551,0,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"119",119,7.1,565,2016,4,2.35,"Color",21,26,12,0,0,0,565,0,0,0,0,0,0,0,0,565,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"120",120,6.4,568,2003,26,1.78,"Color",21,29,11,0,0,0,568,0,0,0,0,0,0,0,0,568,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"121",121,3.4,571,2003,39,1.37,"Color",6,15,12,0,0,0,571,0,0,0,0,0,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"122",122,5.6,574,2011,7,2.35,"Color",21,17,13,0,0,0,574,0,0,0,0,0,0,0,1,574,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"123",123,7.2,576,2012,13,1.85,"Color",20,9,13,0,0,0,576,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"124",124,6.3,592,2000,11,2.35,"Color",18,9,14,0,0,0,592,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"125",125,6.1,594,2012,17,1.85,"Color",13,21,14,0,0,1,594,0,0,0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"126",126,6.4,599,2015,4,2.35,"Color",25,11,12,0,0,0,599,0,0,0,0,0,0,0,0,599,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"127",127,6.1,602,2000,14,2.35,"Color",21,12,6,0,0,0,602,0,0,0,0,0,0,0,0,602,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"128",128,7.6,606,1973,19,2.35,"Color",15,18,14,0,0,0,606,0,0,0,0,0,0,0,0,606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"129",129,5.6,608,2009,12,1.85,"Color",13,14,10,0,0,0,608,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"130",130,6.1,609,2012,7,2.35,"Color",32,24,13,0,0,0,609,0,0,0,0,0,0,0,0,609,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"131",131,6.7,611,1985,8,1.85,"Color",25,21,9,0,0,0,611,0,0,0,0,0,0,0,0,611,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"132",132,5.5,614,1998,19,1.85,"Color",30,25,15,0,0,0,614,0,0,0,0,0,0,0,0,614,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
